Platform ID No.;Pass dur. (s);Msg Date;Loc. date;Longitude;Latitude;Loc. quality;SENSOR 01;SENSOR 02;SENSOR 03;SENSOR 04;SENSOR 05;SENSOR 06;SENSOR 07;SENSOR 08;SENSOR 09;SENSOR 10;SENSOR 11;SENSOR 12;SENSOR 13;SENSOR 14;SENSOR 15;SENSOR 16;SENSOR 17;SENSOR 18;SENSOR 19;SENSOR 20;SENSOR 21;SENSOR 22;SENSOR 23
238465;263;2024-02-24 16:29:40;2024-02-24 16:29:20;-44.95806;-63.31331;1;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;263;2024-02-24 16:31:50;2024-02-24 16:29:20;-44.95806;-63.31331;1;31;48;184;;;;;;;;;;;;;;;;;;;;
238465;386;2024-02-24 07:14:17;2024-02-24 07:17:29;-45.14174;-63.2735;0;75;251;02;;;;;;;;;;;;;;;;;;;;
238465;386;2024-02-24 07:19:58;2024-02-24 07:17:29;-45.14174;-63.2735;0;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;386;2024-02-24 07:20:43;2024-02-24 07:17:29;-45.14174;-63.2735;0;253;165;245;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 07:14:17;2024-02-24 07:14:16;-45.07213;-63.30709;0;75;251;02;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 07:19:58;2024-02-24 07:14:16;-45.07213;-63.30709;0;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 02:47:57;2024-02-24 02:50:39;-45.25503;-63.26573;1;71;09;03;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 02:48:42;2024-02-24 02:50:39;-45.25503;-63.26573;1;83;243;82;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 02:51:56;2024-02-24 02:50:39;-45.25503;-63.26573;1;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;341;2024-02-24 02:53:38;2024-02-24 02:50:39;-45.25503;-63.26573;1;75;235;03;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:36:02;2024-02-23 18:39:53;-45.36449;-63.29252;3;95;112;81;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:38:17;2024-02-23 18:39:53;-45.36449;-63.29252;3;19;97;222;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:39:09;2024-02-23 18:39:53;-45.36449;-63.29252;3;69;03;03;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:39:54;2024-02-23 18:39:53;-45.36449;-63.29252;3;81;118;81;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:40:39;2024-02-23 18:39:53;-45.36449;-63.29252;3;98;105;00;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:42:15;2024-02-23 18:39:53;-45.36449;-63.29252;3;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;553;2024-02-23 18:45:15;2024-02-23 18:39:53;-45.36449;-63.29252;3;15;01;16;;;;;;;;;;;;;;;;;;;;
238465;339;2024-02-23 18:22:33;2024-02-23 18:23:29;-45.36176;-63.29369;2;78;04;03;;;;;;;;;;;;;;;;;;;;
238465;339;2024-02-23 18:23:18;2024-02-23 18:23:29;-45.36176;-63.29369;2;82;89;81;;;;;;;;;;;;;;;;;;;;
238465;339;2024-02-23 18:24:03;2024-02-23 18:23:29;-45.36176;-63.29369;2;106;97;00;;;;;;;;;;;;;;;;;;;;
238465;339;2024-02-23 18:26:24;2024-02-23 18:23:29;-45.36176;-63.29369;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;296;2024-02-23 18:12:27;2024-02-23 18:14:48;-45.32444;-63.28035;0;27;139;28;;;;;;;;;;;;;;;;;;;;
238465;296;2024-02-23 18:13:12;2024-02-23 18:14:48;-45.32444;-63.28035;0;96;02;03;;;;;;;;;;;;;;;;;;;;
238465;296;2024-02-23 18:15:08;2024-02-23 18:14:48;-45.32444;-63.28035;0;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;296;2024-02-23 18:15:53;2024-02-23 18:14:48;-45.32444;-63.28035;0;75;13;35;;;;;;;;;;;;;;;;;;;;
238465;296;2024-02-23 18:17:23;2024-02-23 18:14:48;-45.32444;-63.28035;0;108;95;00;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:04:13;2024-02-23 10:08:00;-45.52349;-63.29205;3;74;16;03;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:04:58;2024-02-23 10:08:00;-45.52349;-63.29205;3;90;175;80;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:07:37;2024-02-23 10:08:00;-45.52349;-63.29205;3;87;182;80;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:09:07;2024-02-23 10:08:00;-45.52349;-63.29205;3;15;01;16;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:11:45;2024-02-23 10:08:00;-45.52349;-63.29205;3;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:12:31;2024-02-23 10:08:00;-45.52349;-63.29205;3;64;18;03;;;;;;;;;;;;;;;;;;;;
238465;640;2024-02-23 10:13:16;2024-02-23 10:08:00;-45.52349;-63.29205;3;95;193;80;;;;;;;;;;;;;;;;;;;;
238465;366;2024-02-23 09:59:19;2024-02-23 09:58:58;-45.50809;-63.29443;2;67;13;03;;;;;;;;;;;;;;;;;;;;
238465;366;2024-02-23 10:00:04;2024-02-23 09:58:58;-45.50809;-63.29443;2;88;165;80;;;;;;;;;;;;;;;;;;;;
238465;366;2024-02-23 10:00:49;2024-02-23 09:58:58;-45.50809;-63.29443;2;101;98;00;;;;;;;;;;;;;;;;;;;;
238465;366;2024-02-23 10:01:45;2024-02-23 09:58:58;-45.50809;-63.29443;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;304;2024-02-23 09:42:09;2024-02-23 09:41:33;-45.51077;-63.29608;1;65;07;03;;;;;;;;;;;;;;;;;;;;
238465;304;2024-02-23 09:43:11;2024-02-23 09:41:33;-45.51077;-63.29608;1;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;304;2024-02-23 09:43:56;2024-02-23 09:41:33;-45.51077;-63.29608;1;66;08;03;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:28:28;2024-02-23 09:30:09;-45.50621;-63.29641;2;68;06;03;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:29:13;2024-02-23 09:30:09;-45.50621;-63.29641;2;86;98;80;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:29:58;2024-02-23 09:30:09;-45.50621;-63.29641;2;96;99;00;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:31:58;2024-02-23 09:30:09;-45.50621;-63.29641;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:32:43;2024-02-23 09:30:09;-45.50621;-63.29641;2;66;08;03;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:33:28;2024-02-23 09:30:09;-45.50621;-63.29641;2;80;108;80;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:34:13;2024-02-23 09:30:09;-45.50621;-63.29641;2;98;105;00;;;;;;;;;;;;;;;;;;;;
238465;585;2024-02-23 09:34:58;2024-02-23 09:30:09;-45.50621;-63.29641;2;15;01;16;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:14:33;2024-02-23 09:13:22;-45.48711;-63.30337;2;88;68;80;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:16:14;2024-02-23 09:13:22;-45.48711;-63.30337;2;78;04;03;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:16:59;2024-02-23 09:13:22;-45.48711;-63.30337;2;81;73;80;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:17:50;2024-02-23 09:13:22;-45.48711;-63.30337;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:18:35;2024-02-23 09:13:22;-45.48711;-63.30337;2;68;06;03;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:19:20;2024-02-23 09:13:22;-45.48711;-63.30337;2;85;77;80;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:20:05;2024-02-23 09:13:22;-45.48711;-63.30337;2;100;103;00;;;;;;;;;;;;;;;;;;;;
238465;568;2024-02-23 09:21:35;2024-02-23 09:13:22;-45.48711;-63.30337;2;27;143;60;;;;;;;;;;;;;;;;;;;;
238465;472;2024-02-22 20:41:18;2024-02-22 20:37:28;-45.72681;-63.31685;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;273;2024-02-22 20:16:48;2024-02-22 20:18:59;-45.75162;-63.31789;3;26;143;28;;;;;;;;;;;;;;;;;;;;
238465;273;2024-02-22 20:21:21;2024-02-22 20:18:59;-45.75162;-63.31789;3;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;478;2024-02-22 11:57:31;2024-02-22 11:57:31;-45.93148;-63.32882;3;11;143;29;;;;;;;;;;;;;;;;;;;;
238465;478;2024-02-22 12:01:36;2024-02-22 11:57:31;-45.93148;-63.32882;3;27;164;129;;;;;;;;;;;;;;;;;;;;
238465;478;2024-02-22 12:05:29;2024-02-22 11:57:31;-45.93148;-63.32882;3;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;259;2024-02-22 11:19:19;2024-02-22 11:21:16;-46.00021;-63.33302;0;27;159;125;;;;;;;;;;;;;;;;;;;;
238465;259;2024-02-22 11:23:38;2024-02-22 11:21:16;-46.00021;-63.33302;0;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;353;2024-02-22 07:42:48;2024-02-22 07:42:40;-46.01381;-63.33818;2;55;147;59;;;;;;;;;;;;;;;;;;;;
238465;353;2024-02-22 07:44:07;2024-02-22 07:42:40;-46.01381;-63.33818;2;71;25;03;;;;;;;;;;;;;;;;;;;;
238465;353;2024-02-22 07:45:20;2024-02-22 07:42:40;-46.01381;-63.33818;2;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;372;2024-02-22 07:00:08;2024-02-22 07:02:29;-45.98014;-63.34146;1;70;12;03;;;;;;;;;;;;;;;;;;;;
238465;372;2024-02-22 07:05:35;2024-02-22 07:02:29;-45.98014;-63.34146;1;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;372;2024-02-22 07:00:08;2024-02-22 07:02:10;-46.0216;-63.34475;0;70;12;03;;;;;;;;;;;;;;;;;;;;
238465;372;2024-02-22 07:05:35;2024-02-22 07:02:10;-46.0216;-63.34475;0;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;572;2024-02-22 03:42:25;2024-02-22 03:37:41;-46.09507;-63.34302;3;27;143;28;;;;;;;;;;;;;;;;;;;;
238465;605;2024-02-22 03:07:38;2024-02-22 02:59:09;-46.10802;-63.34497;3;73;15;03;;;;;;;;;;;;;;;;;;;;
